CompID,SiteID,DP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRcoil,Cryoprobe,MRsequence,MRbrainregion,MRVoxSize,MRvoxelvolume,MRaverages,MRsoftwareversion,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshim,LW,LW_hz,SNR,SNR_LW_Ratio,CompCheck
compMRS059,S05,DP08,sub-03,Rat,Wistar,100,M,548,Bruker,7,"Tx:  70mm volume coil.  Rx:  4ch array, 33mm diameter elements",FALSE,sLASER,Rhippocampus,3.8 x 2.3 x 1.8,15.732,256,PV360 v3.3,6060.6,2048,20.7,4000,MAPSHIM,0.0436924723762954,13.1213650526369,41.056464785494,939.669067749263,pass
compMRS060,S05,DP08,sub-04,Rat,Wistar,100,M,549,Bruker,7,"Tx:  70mm volume coil.  Rx:  4ch array, 33mm diameter elements",FALSE,sLASER,Rhippocampus,3.8 x 2.3 x 1.8,15.732,256,PV360 v3.3,6060.6,2048,20.7,4000,MAPSHIM,0.0330138460316087,9.914446459151,59.8065904271634,1811.56083329104,pass
compMRS061,S05,DP08,sub-05,Rat,Wistar,102,M,511,Bruker,7,"Tx:  70mm volume coil.  Rx:  4ch array, 33mm diameter elements",FALSE,sLASER,Rhippocampus,3.8 x 2.5 x 1.8,17.1,256,PV360 v3.3,6060.6,2048,20.7,4000,MAPSHIM,0.0364766115126672,10.9543594750898,61.7422676608591,1692.65359638512,pass
compMRS062,S05,DP08,sub-06,Rat,Wistar,104,M,488,Bruker,7,"Tx:  70mm volume coil.  Rx:  4ch array, 33mm diameter elements",FALSE,sLASER,Rhippocampus,3.8 x 2.5 x 1.8,17.1,256,PV360 v3.3,6060.6,2048,20.7,4000,MAPSHIM,0.0173737842346419,5.21755208643932,120.029471644102,6908.65444298386,pass
compMRS063,S05,DP08,sub-07,Rat,Wistar,94,M,488,Bruker,7,"Tx:  70mm volume coil.  Rx:  4ch array, 33mm diameter elements",FALSE,sLASER,Rhippocampus,3.8 x 2.5 x 1.8,17.1,256,PV360 v3.3,6060.6,2048,20.7,4000,MAPSHIM,0.0162719824511635,4.88666890975547,98.6909247575538,6065.08303789973,pass
compMRS064,S05,DP08,sub-08,Rat,Wistar,97,M,518,Bruker,7,"Tx:  70mm volume coil.  Rx:  4ch array, 33mm diameter elements",FALSE,sLASER,Rhippocampus,3.8 x 2.5 x 1.8,17.1,256,PV360 v3.3,6060.6,2048,20.7,4000,MAPSHIM,0.0118241233154589,3.55092247588862,126.323511561436,10683.541450915,pass
compMRS065,S03,DP09,sub-01,Rat,Fischer-344,558,M,500,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,3 x 2 x 2,12,256,PV7.0.0,4401.4,2048,8.61,2500,MAPSHIM,0.0241575497470602,9.67074167699114,53.851809414255,2229.1917010668,pass
compMRS066,S03,DP09,sub-02,Rat,Fischer-344,547,M,505,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,3 x 2 x 2,12,256,PV7.0.0,4401.4,2048,8.61,2500,MAPSHIM,0.0189195997636092,7.57388904779394,54.086273554692,2858.74300886238,pass
compMRS067,S03,DP09,sub-03,Rat,Fischer-344,539,F,325,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,3 x 2 x 2,12,256,PV7.0.0,4401.4,2048,8.61,2500,MAPSHIM,0.0179401016535796,7.18177132094828,58.3117856731528,3250.35982510823,pass
compMRS068,S03,DP09,sub-04,Rat,Fischer-344,531,F,307,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,3 x 2 x 2,12,256,PV7.0.0,4401.4,2048,8.61,2500,MAPSHIM,0.0183370322022506,7.34067145746142,53.8875678450902,2938.72897482703,pass
compMRS069,S03,DP09,sub-05,Rat,Fischer-344,532,F,305,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,3 x 2 x 2,12,256,PV7.0.0,4401.4,2048,8.61,2500,MAPSHIM,0.0221808467883554,8.87942379551438,54.873966457555,2473.93469605331,pass
compMRS070,S03,DP09,sub-06,Rat,Fischer-344,532,F,308,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,3 x 2 x 2,12,256,PV7.0.0,4401.4,2048,8.61,2500,MAPSHIM,0.0224015465034382,8.96777561828853,49.862331514254,2225.84326964217,pass
compMRS071,S03,DP09,sub-07,Rat,Fischer-344,561,M,518,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,3 x 2 x 2,12,256,PV7.0.0,4401.4,2048,8.61,2500,MAPSHIM,0.0281454905276824,11.2671767223193,34.8435560971237,1237.98006159649,pass
compMRS072,S03,DP09,sub-08,Rat,Fischer-344,561,M,514,Bruker,9.4,"Volume Tx + Rx array",FALSE,PRESS,Rhippocampus,3 x 2 x 2,12,256,PV7.0.0,4401.4,2048,8.61,2500,MAPSHIM,0.016429061594455,6.57686465426585,43.5219044755767,2649.08036441143,pass
compMRS073,S06,DP10,sub-01,Mouse,C57BL-6J,159,F,NaN,Bruker,9.4,"Homemade loop surface",FALSE,PRESS,Rhippocampus,2 x 1 x 2,4,256,PV360 v3.5,6060.6,2048,16.5,2500,MAPSHIM,0.0376200302952325,15.0600090913724,35.3437706598165,939.493413015553,pass
compMRS074,S06,DP10,sub-02,Mouse,C57BL-6J,159,F,NaN,Bruker,9.4,"Homemade loop surface",FALSE,PRESS,Rhippocampus,2 x 1 x 2,4,256,PV360 v3.5,6060.6,2048,16.5,2500,MAPSHIM,0.0345669573831571,13.8378103765194,34.4291205003447,996.012467013381,pass
compMRS075,S06,DP10,sub-03,Mouse,C57BL-6J,159,F,NaN,Bruker,9.4,"Homemade loop surface",FALSE,PRESS,Rhippocampus,2 x 1 x 2,4,256,PV360 v3.5,6060.6,2048,16.5,2500,MAPSHIM,0.0271009313812474,10.8490135689903,44.1977049536666,1630.85557215385,pass
compMRS076,S06,DP10,sub-04,Mouse,C57BL-6J,159,F,NaN,Bruker,9.4,"Homemade loop surface",FALSE,PRESS,Rhippocampus,2 x 1 x 2,4,256,PV360 v3.5,6060.6,2048,16.5,2500,MAPSHIM,0.0378834581329289,15.1654651335476,31.4788317775881,830.938708581786,pass
compMRS077,S06,DP10,sub-05,Mouse,C57BL-6J,160,F,NaN,Bruker,9.4,"Homemade loop surface",FALSE,PRESS,Rhippocampus,2 x 1 x 2,4,256,PV360 v3.5,6060.6,2048,16.5,2500,MAPSHIM,0.0180882909438319,7.24108298700018,55.0094759778528,3041.16492534697,pass
