CompID,SiteID,DP,SubjectInDP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRsequence,MRbrainregion,MRvoxelvolume,MRaverages,MRsoftwareversion,MRcoildetail,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshimmethod,LW,SNR,SNR_LW_Ratio,CompCheck
"compMRS073","S06","DP10",1,"sub-01","Mouse","C57BL-6J",159,"F",NaN,"Bruker",9.4,"PRESS","Rhippocampus",4,256,"PV360 v3.5","",6060.6,2048,16.5,2500,"MAPSHIM",20.5897153869844,37.2053012151033,1.80698472590944,"pass"
"compMRS074","S06","DP10",2,"sub-02","Mouse","C57BL-6J",159,"F",NaN,"Bruker",9.4,"PRESS","Rhippocampus",4,256,"PV360 v3.5","",6060.6,2048,16.5,2500,"MAPSHIM",17.3034161850519,33.5657394457381,1.93983309924284,"pass"
"compMRS075","S06","DP10",3,"sub-03","Mouse","C57BL-6J",159,"F",NaN,"Bruker",9.4,"PRESS","Rhippocampus",4,256,"PV360 v3.5","",6060.6,2048,16.5,2500,"MAPSHIM",14.2685042073937,42.2370259474269,2.96015793481284,"pass"
"compMRS076","S06","DP10",4,"sub-04","Mouse","C57BL-6J",159,"F",NaN,"Bruker",9.4,"PRESS","Rhippocampus",4,256,"PV360 v3.5","",6060.6,2048,16.5,2500,"MAPSHIM",24.4648889307279,31.5963307858504,1.29149700516994,"pass"
"compMRS077","S06","DP10",5,"sub-05","Mouse","C57BL-6J",160,"F",NaN,"Bruker",9.4,"PRESS","Rhippocampus",4,256,"PV360 v3.5","",6060.6,2048,16.5,2500,"MAPSHIM",8.88322864510838,54.7427902204954,6.16248803306892,"pass"
"compMRS078","S06","DP10",6,"sub-06","Mouse","C57BL-6J",160,"F",NaN,"Bruker",9.4,"PRESS","Rhippocampus",4,256,"PV360 v3.5","",6060.6,2048,16.5,2500,"MAPSHIM",24.4813066167252,31.4739248779142,1.28563092528778,"pass"
"compMRS079","S06","DP10",7,"sub-07","Mouse","C57BL-6J",160,"F",NaN,"Bruker",9.4,"PRESS","Rhippocampus",4,256,"PV360 v3.5","",6060.6,2048,16.5,2500,"MAPSHIM",27.3224645243838,32.5640107090243,1.19184016800398,"pass"
"compMRS080","S06","DP10",8,"sub-08","Mouse","C57BL-6J",160,"F",NaN,"Bruker",9.4,"PRESS","Rhippocampus",4,256,"PV360 v3.5","",6060.6,2048,16.5,2500,"MAPSHIM",20.1407200158129,34.4307706257968,1.70951041466067,"pass"
"compMRS081","S07","DP11",1,"sub-01","Rat","Sprague Dawley",193,"",407,"Varian",9.4,"SPECIAL","Lhippocampus",22.5,320,"VNMRJ 1.1D","",5000,2048,3,4000,"FASTMAP-FASTESTMAP",10.9062779138284,84.8727575513509,7.78200942814211,"pass"
"compMRS082","S07","DP11",2,"sub-02","Rat","Sprague Dawley",175,"",409,"Varian",9.4,"SPECIAL","Lhippocampus",22.5,320,"VNMRJ 1.1D","",5000,2048,3,4000,"FASTMAP-FASTESTMAP",12.234339195778,79.6178258985214,6.50773406102696,"pass"
